genre,dtg,mpaa,releasedate,budget,runtime,title
Foreign,44995,Unrated,2015-04-17 00:00:00,nan,125,Mr. X
Action Comedy,4871263,Unrated,2015-12-17 00:00:00,nan,158,Dilwale
Action Comedy,1650000,PG,2015-10-21 00:00:00,nan,,Back to the Future Day
Adventure Comedy,17484,R,2015-10-09 00:00:00,nan,114,Trash
Drama,4719695,R,2015-04-17 00:00:00,nan,99,True Story
Foreign,154356,PG-13,2015-01-30 00:00:00,nan,120,"Buen Dia, Ramon"
Drama,235361,Unrated,2015-06-12 00:00:00,nan,129,Hamari Adhuri Kahani
Drama,4247285,R,2015-12-23 00:00:00,nan,95,45 Years
Animation,3759286,R,2015-12-30 00:00:00,8000000,90,Anomalisa
Romantic Thriller,195792,R,2015-06-26 00:00:00,nan,120,Escobar: Paradise Lost
Family,3618912,PG-13,2015-01-16 00:00:00,nan,83,Spare Parts
Comedy,3447633,R,2015-08-21 00:00:00,nan,89,Learning to Drive
Drama,538460,R,2015-11-13 00:00:00,10000000,122,By the Sea
Comedy,819431,R,2015-09-11 00:00:00,nan,95,Sleeping with Other People
Foreign,3184472,PG-13,2015-07-24 00:00:00,nan,98,Phoenix
Historical Drama,560592,PG-13,2015-07-03 00:00:00,nan,109,Jimmy's Hall
Drama,3066100,Unrated,2015-06-05 00:00:00,nan,170,Dil Dhadakne Do
Comedy,3063505,PG-13,2015-10-09 00:00:00,nan,,Ladrones
Romantic Comedy,3044347,Unrated,2015-05-22 00:00:00,nan,128,Tanu Weds Manu Returns
Comedy / Drama,3020664,R,2015-10-23 00:00:00,nan,106,Rock The Kasbah
Drama,3002884,R,2015-07-31 00:00:00,nan,106,The End of the Tour
Thriller,2583301,PG-13,2015-09-18 00:00:00,nan,97,Captive
Documentary,2668936,PG-13,2015-10-02 00:00:00,nan,87,He Named Me Malala
Drama,2703296,R,2015-12-04 00:00:00,nan,118,Youth
Drama,2541854,R,2015-10-16 00:00:00,nan,121,Truth
Comedy,2500431,R,2015-08-14 00:00:00,nan,86,Mistress America
Musical,2184640,PG,2015-10-23 00:00:00,5000000,118,Jem and the Holograms
Foreign,54030,Unrated,2015-01-09 00:00:00,nan,171,Beloved Sisters
Drama / Thriller,7734,R,2015-03-27 00:00:00,nan,107,The Riot Club
Comedy / Drama,2065487,Unrated,2015-11-25 00:00:00,nan,139,Tamasha
Drama,1951776,R,2015-01-23 00:00:00,nan,102,Cake
Drama / Thriller,1904682,Unrated,2015-08-07 00:00:00,nan,140,Assassination
Drama,1851517,R,2015-04-10 00:00:00,nan,120,Clouds of Sils Maria
Drama,1822250,PG-13,2015-06-05 00:00:00,nan,129,Testament of Youth
Comedy,1801807,Unrated,2015-05-08 00:00:00,nan,123,Piku
Horror,1784763,PG-13,2015-07-24 00:00:00,nan,91,The Vatican Tapes
Drama,1777043,R,2015-12-18 00:00:00,nan,107,Son of Saul
Documentary,0,Unrated,2015-11-27 00:00:00,nan,103,Janis: Little Girl Blue
War Drama,1270847,R,2015-02-27 00:00:00,nan,99,'71
Drama,1477002,R,2015-08-07 00:00:00,nan,102,The Diary of a Teenage Girl
Foreign,1449232,Unrated,2015-01-13 00:00:00,nan,188,I
Comedy / Drama,1430655,R,2015-06-19 00:00:00,nan,90,Infinitely Polar Bear
Thriller,1411927,R,2015-09-25 00:00:00,8000000,112,99 Homes
Action Thriller,1388365,Unrated,2015-09-04 00:00:00,nan,152,Welcome Back
Drama / Thriller,0,R,2015-10-16 00:00:00,nan,95,Remember
Documentary,1343349,PG-13,2015-03-27 00:00:00,nan,110,The Salt of the Earth
Drama,350741,R,2015-02-27 00:00:00,nan,111,Maps to the Stars
Documentary,1310678,PG-13,2015-04-29 00:00:00,nan,80,Iris
Documentary,1301696,R,2015-06-12 00:00:00,nan,80,The Wolfpack
Action Comedy,1200627,Unrated,2015-09-18 00:00:00,nan,123,Veteran
Horror Thriller,1178196,R,2015-09-11 00:00:00,nan,99,Goodnight Mommy
Thriller,1171559,R,2015-01-23 00:00:00,nan,115,Black Sea
Drama,1162653,PG-13,2015-11-06 00:00:00,nan,112,Miss You Already
Drama,1156000,PG-13,2015-05-15 00:00:00,nan,95,Where Hope Grows
Documentary,704352,R,2015-07-03 00:00:00,nan,98,Cartel Land
Foreign,1076075,PG-13,2015-01-28 00:00:00,nan,97,Timbuktu
Documentary,1028953,Unrated,2015-04-10 00:00:00,nan,90,Dior and I
Drama,1020921,PG-13,2015-05-08 00:00:00,nan,92,5 Flights Up
Romantic Comedy,1009301,PG-13,2015-10-09 00:00:00,nan,103,Big Stone Gap
Foreign,988150,Unrated,2015-02-13 00:00:00,nan,115,Gett: The Trial of Viviane Amsalem
Animation,919651,Unrated,2015-10-10 00:00:00,nan,100,Boruto: Naruto the Movie
Action Comedy,919095,Unrated,2015-10-02 00:00:00,nan,140,Singh is Bling
Musical,892133,Unrated,2015-06-19 00:00:00,nan,154,ABCD
Drama,845464,PG-13,2015-11-20 00:00:00,nan,97,Mustang
Foreign,794452,R,2015-09-30 00:00:00,nan,124,Labyrinth of Lies
Comedy,673151,R,2015-05-08 00:00:00,nan,101,The D Train
Documentary,743541,PG,2015-03-13 00:00:00,nan,81,Seymour: An Introduction
Comedy / Drama,702354,R,2015-07-10 00:00:00,nan,88,Tangerine
Documentary,694600,PG,2015-01-23 00:00:00,nan,76,Red Army
Thriller,660561,R,2015-07-17 00:00:00,nan,122,The Stanford Prison Experiment
Action Drama,632542,Unrated,2015-10-16 00:00:00,nan,107,The Assassin
Adventure Comedy,623383,Unrated,2015-03-18 00:00:00,nan,105,"Kumiko, The Treasure Hunter"
Comedy / Drama,608852,R,2015-05-01 00:00:00,nan,87,Welcome to Me
Documentary,516893,Unrated,2015-09-02 00:00:00,nan,113,Black Panthers: Vanguard of the Revolution
Thriller,579055,Unrated,2015-04-03 00:00:00,nan,135,Detective Byomkesh Bakshy
Drama,573335,PG-13,2015-10-02 00:00:00,nan,103,Freeheld
Animation,561085,PG,2015-05-22 00:00:00,nan,103,When Marnie Was There
Foreign,534601,Unrated,2015-05-01 00:00:00,nan,128,Gabbar is Back
Animation,524451,Unrated,2015-02-20 00:00:00,nan,112,The Last - Naruto the Movie
Documentary,498428,Unrated,2015-11-06 00:00:00,nan,96,Peggy Guggenheim Art Addict
Action Drama,489984,Unrated,2015-08-28 00:00:00,nan,136,Phantom
Foreign,0,Unrated,2015-02-13 00:00:00,nan,109,Somewhere Only We Know
Foreign,462918,Unrated,2015-04-03 00:00:00,nan,127,Let's Get Married
Drama,450692,Unrated,2015-05-15 00:00:00,nan,149,Bombay Velvet
Animation,449523,Unrated,2015-09-30 00:00:00,nan,90,Attack on Titan: Part 1
Drama / Thriller,449191,Unrated,2015-06-26 00:00:00,nan,104,The Third Man
Foreign,429477,R,2015-05-08 00:00:00,nan,150,Saint Laurent
Documentary,425831,Unrated,2015-07-29 00:00:00,nan,102,Listen to Me Marlon
Documentary,420813,Unrated,2015-10-21 00:00:00,nan,75,Heart of a Dog
Drama,418063,Unrated,2015-10-30 00:00:00,nan,112,The Witness
Documentary,410185,PG-13,2015-09-25 00:00:00,nan,106,Unbranded
Foreign,376986,R,2015-08-28 00:00:00,nan,111,The Second Mother
Animation,370146,PG,2015-10-01 00:00:00,nan,83,Kahlil Gibran's The Prophet
Romantic Comedy,364932,Unrated,2015-09-18 00:00:00,nan,135,Katti Batti
Animation,355343,PG,2015-08-07 00:00:00,nan,83,Kahlil Gibran's The Prophet
Drama,352534,PG-13,2015-04-03 00:00:00,nan,108,Effie Gray
Drama,347321,PG-13,2015-05-08 00:00:00,nan,101,Noble
War Drama,337907,Unrated,2015-07-17 00:00:00,nan,130,Northern Limit Line
Foreign,324597,Unrated,2015-02-06 00:00:00,nan,155,Shamitabh
Drama,0,Unrated,2015-10-02 00:00:00,nan,82,Jafar Panahi's Taxi
Drama,316472,R,2015-05-15 00:00:00,nan,102,Good Kill
Foreign,310978,Unrated,2015-01-30 00:00:00,nan,88,Running Man
Action Fantasy,305934,Unrated,2015-10-20 00:00:00,nan,,Attack on Titan: Part 2
Adventure,0,Unrated,2015-11-06 00:00:00,nan,100,Theeb
Foreign,282358,R,2015-03-27 00:00:00,nan,119,White God
Drama,281540,Unrated,2015-06-26 00:00:00,nan,104,A Borrowed Identity
Foreign,277528,R,2015-05-15 00:00:00,nan,116,In the Name of my Daughter
Documentary,260430,PG-13,2015-12-02 00:00:00,nan,80,Hitchcock/Truffaut
Drama,249083,Unrated,2015-10-30 00:00:00,3000000,135,Love
Foreign,236002,Unrated,2015-01-09 00:00:00,nan,157,Tevar
Foreign,234573,Unrated,2015-01-16 00:00:00,nan,131,20 Once Again
Action Thriller,229094,R,2015-05-20 00:00:00,nan,84,Slow West
Foreign / Action,228984,Unrated,2015-01-02 00:00:00,nan,136,The Taking of Tiger Mountain
Drama,228136,PG-13,2015-12-04 00:00:00,nan,97,A Royal Night Out
Comedy / Drama,222989,PG-13,2015-06-03 00:00:00,nan,101,A Pigeon Sat on a Branch Reflecting on Existence
Comedy,222856,Unrated,2015-10-16 00:00:00,nan,136,Pyaar Ka Punchnama 2
